sample,gps_start_heading,gps_start_x_position,gps_start_y_position,inertial_start_heading,inertial_start_rotation,distance_limit_forward,distance_limit_reverse,distance_estimate,left_direction,right_direction,volts,duration_ms,gps_stop_heading,gps_stop_x_position,gps_stop_y_position,inertial_stop_heading,inertial_stop_rotation,gps_cooldown_heading,gps_cooldown_x_position,gps_cooldown_y_position,inertial_cooldown_heading,inertial_cooldown_rotation,gps_final_heading,gps_final_x_position,gps_final_y_position,inertial_final_heading,inertial_final_rotation,gps_stop_angle,gps_cooldown_angle,gps_final_angle,inertial_stop_angle,inertial_cooldown_angle,inertial_final_angle,inertial_stop_travel,inertial_cooldown_travel,inertial_final_travel,gps_stop_distance,gps_cooldown_distance,gps_final_distance
47,68.53686,443.8496,1140.258,68.53686,-673.889,1457.203,2411.048,597.25,0.0,1.0,1.3,2550.0,126.3194,335.8754,1114.057,130.8921,-611.5337,129.9188,322.7037,1110.731,131.7328,-610.6931,130.7061,328.3836,1120.321,131.7336,-610.6923,57.7825,61.3819,62.1692,62.3552,63.1959,63.1967,62.3553,63.1959,63.1967,111.1077,124.6923,117.1746
48,130.7821,327.44,1121.492,130.7821,-610.6925,1944.747,896.0769,1427.5,0.0,0.0,11.8,750.0,133.7795,943.6147,543.5133,134.1099,-607.3648,128.0131,1254.148,224.2999,127.3458,-614.1288,127.9148,1265.541,217.8694,127.3458,-614.1288,2.9974,-2.769,-2.8673,3.3278,-3.4363,-3.4363,3.3277,-3.4363,-3.4363,844.8258,1289.861,1302.5234
49,127.8992,1266.642,216.7589,127.8992,-614.1286,675.9135,2006.408,788.4999,1.0,0.0,1.8,2550.0,11.03202,1273.542,227.4038,11.00282,-731.0249,5.085509,1318.225,223.2349,7.255686,-734.7721,4.156491,1330.064,210.5196,7.25526,-734.7725,-116.8672,-122.8137,-123.7427,-116.8964,-120.6435,-120.6439,-116.8963,-120.6435,-120.6439,12.6856,51.9879,63.7282
50,4.586829,1339.437,209.2802,4.586829,-0.08339422,462.043,2015.736,2109.25,1.0,0.0,4.7,2850.0,239.7568,1262.669,180.5845,218.0716,-506.5986,188.6808,1290.611,115.0855,191.2815,-533.3887,183.5913,1269.343,122.6928,191.2823,-533.3879,-124.83,-175.906,179.0045,-146.5152,-173.3053,-173.3045,-506.5152,-533.3053,-533.3045,81.9559,106.0972,111.4026
51,182.9663,1254.406,122.5412,182.9663,-533.3883,1925.12,546.3264,244.0,1.0,1.0,0.6,1600.0,182.6083,1233.721,123.4876,183.0055,-533.349,182.5222,1220.47,126.4271,183.0054,-533.3492,182.4439,1210.514,131.9019,183.0056,-533.349,-0.358,-0.4441,-0.5224,0.0392,0.0391,0.0393,0.0393,0.0391,0.0393,20.7066,34.1578,44.8791
52,182.4393,1202.614,133.6259,182.4393,-533.3492,1935.38,597.9279,2638.0,1.0,0.0,7.2,2350.0,258.9882,838.1284,354.1334,250.7319,-1185.057,182.3009,1175.162,119.5355,190.0411,-1245.747,180.4214,1184.005,102.8219,190.0412,-1245.747,76.5489,-0.1384,-2.0179,68.2926,7.6018,7.6019,-651.7078,-712.3978,-712.3978,425.9968,30.857,35.9886
53,180.1943,1181.14,102.7285,180.1943,-1245.747,1902.739,618.8633,2080.0,0.0,1.0,8.8,1500.0,346.1977,1529.623,300.0386,330.2413,-735.7002,65.64534,1246.551,165.9067,58.02511,-647.9165,65.97614,1231.257,130.803,58.02474,-647.9168,166.0034,-114.549,-114.2182,150.047,-122.1692,-122.1696,510.0468,597.8305,597.8302,400.4643,90.94,57.4447
54,65.99442,1227.164,122.2408,65.99442,-647.9175,627.0748,3313.787,2080.0,1.0,0.0,5.5,2400.0,313.0206,1071.683,210.7984,291.0383,-1142.874,254.0723,1029.189,215.5471,253.7942,-1180.118,246.1565,1051.569,201.0338,253.7953,-1180.117,-112.9738,-171.9221,-179.8379,-134.9561,-172.2002,-172.1991,-494.9565,-532.2005,-532.1995,178.9324,218.8611,192.4628
55,245.1596,1063.249,181.559,245.1596,-1180.117,3155.161,811.8639,1187.5,0.0,1.0,2.9,2500.0,117.5957,1083.584,-46.58555,125.8527,-939.4238,140.8459,1117.843,-19.18891,137.9081,-927.3684,144.5118,1058.522,44.00004,137.9087,-927.3679,-127.5639,-104.3137,-100.6478,-119.3069,-107.2515,-107.2509,240.6932,252.7486,252.7491,229.049,208.039,137.6402
56,145.1519,1070.717,45.76723,145.1519,-927.3681,1276.304,2137.561,3007.0,0.0,1.0,7.6,2550.0,209.8723,956.7152,114.83,193.0813,-159.4387,270.2508,1002.559,248.4953,259.1012,-93.41881,268.5776,1017.529,271.2629,259.1024,-93.41766,64.7204,125.0989,123.4257,47.9294,113.9493,113.9505,767.9294,833.9493,833.9504,133.2894,213.8789,231.6835
